set;ANG1;ANG2;ANG3;ANG4;TSAI1;TSAI2;TSAI3;TSAI4;TSAI5;TSAI6;TSAI7;TSAI8;TSAI9;TSAI10;TSAI11;TSAI12;TK;MTSAI;TVOL
107;136,03;58,5919;19,0132;33,4573;0,82425;1,39461;1,55044;1,42366;1,26355;1,20364;1,24604;1,29233;1,33594;1,3634;1,45781;1,2662;25,3564;1,55044;2,49E+07
108;162,818;126,8;40,3221;149,759;1,74448;1,15044;0,919733;1,44099;1,23895;0,974197;0,938152;1,13126;1,2292;0,706241;0,924789;1,25534;30,8505;1,74448;3,03E+07
109;146,605;73,0678;176,196;35,8714;0,914309;1,03419;1,19799;1,25292;1,23764;0,801414;0,799231;1,15283;1,11739;0,908358;0,920854;0,900105;24,1414;1,25292;2,37E+07
110;136,846;97,4926;159,114;33,4521;0,560786;0,631102;0,566643;0,421682;0,37146;0,449933;0,415892;0,357484;0,387611;0,479326;0,316813;0,415446;25,1818;0,631102;2,47E+07
111;113,22;1,33361;165,035;99,4113;1,05983;1,03072;1,05442;0,816465;0,526015;0,820246;0,797271;0,408924;0,583657;0,882748;0,720447;0,716678;20,0512;1,05983;1,97E+07
112;64,1425;58,1162;61,5024;3,58352;1,78457;1,47993;1,42867;1,22646;1,06881;1,07619;1,00416;0,779796;0,797006;1,12267;1,21364;1,27959;27,9218;1,78457;2,74E+07
113;7,75292;133,821;84,241;45,6349;1,2164;0,913952;0,538109;0,659767;1,08505;0,848507;0,834496;0,999994;0,605656;0,35418;0,783909;0,888744;19,6115;1,2164;1,93E+07
114;46,2342;173,717;53,988;93,7593;0,502641;0,584344;0,403266;0,320303;0,283962;0,493154;0,473425;0,270354;0,201267;0,342661;0,419823;0,375539;31,819;0,584344;3,13E+07
115;110,948;21,1342;4,22115;135,946;0,217684;0,450156;0,512263;0,396175;0,174684;0,395784;0,3845;0,161911;0,33475;0,401002;0,350966;0,164558;35,973;0,512263;3,54E+07
116;152,859;146,204;134,314;73,3772;0,648181;0,581026;0,460885;0,2108;0,477332;0,509303;0,494048;0,433717;0,144838;0,378186;0,443459;0,470556;38,6719;0,648181;3,80E+07
117;58,7607;43,5973;154,271;76,4514;1,40505;0,956639;0,644376;1,21647;0,85164;0,771374;0,758234;0,612977;0,762688;0,478624;0,72479;0,626775;21,8558;1,40505;2,15E+07
118;157,289;91,74;171,166;60,1948;0,391496;0,421973;0,45001;0,380798;0,495806;0,330382;0,309928;0,456495;0,351988;0,308112;0,236309;0,277726;32,1642;0,495806;3,16E+07
119;54,4449;57,11;63,431;174,628;1,4544;1,27318;1,17854;0,93159;0,7638;0,870836;0,949316;0,745911;0,774263;1,22498;1,34158;1,46295;26,2623;1,46295;2,58E+07
120;172,871;102,491;30,3545;125,537;1,8487;1,21593;1,01549;1,51757;1,38614;0,996588;0,970836;1,24748;1,34782;1,03917;1,21839;1,40835;18,4885;1,8487;1,82E+07
121;53,9172;77,4823;29,4275;160,469;1,3348;1,35886;0,991586;0,83466;0,715117;0,92244;0,854381;0,551428;0,57459;0,779593;0,609446;0,709952;20,3896;1,35886;2,00E+07
122;100,306;32,2594;174,653;127,041;0,367017;0,371388;0,395925;0,247736;0,317185;0,334918;0,326748;0,257942;0,221311;0,316287;0,297748;0,168388;34,4578;0,395925;3,39E+07
123;40,2655;175,005;153,277;8,54755;1,9244;2,37258;2,02088;2,12478;1,6154;2,00542;1,95932;1,48234;1,8674;1,67078;1,84964;1,32806;35,0655;2,37258;3,45E+07
124;138,297;123,314;58,2598;139,69;0,724613;0,77371;0,499319;0,505112;0,294399;0,472642;0,444788;0,269324;0,458492;0,276158;0,359847;0,433731;31,7765;0,77371;3,12E+07
125;158,855;79,6311;19,5723;77,8813;0,482404;0,680681;0,673494;0,624455;0,611295;0,569205;0,544834;0,538565;0,50404;0,500092;0,458674;0,257442;39,3084;0,680681;3,86E+07
126;101,372;135,209;160,265;36,8468;0,751836;0,487488;0,452662;0,284591;0,48209;0,39653;0,387842;0,377308;0,217647;0,371583;0,360421;0,321637;34,1129;0,751836;3,35E+07
127;12,3605;38,1428;121,188;171,333;1,28886;0,935215;0,575072;1,15106;1,09422;0,809169;0,790306;1,0274;1,02956;0,449313;0,735346;0,974238;33,7626;1,28886;3,32E+07
128;5,00849;11,7468;64,6786;81,0764;1,76518;1,75111;1,63393;1,13906;1,16559;1,39243;1,34007;1,0636;1,13878;1,48206;1,74612;1,86347;35,1701;1,86347;3,46E+07
129;122,722;0,942374;100,628;44,1149;0,324612;0,499466;0,31974;0,388131;0,310545;0,427232;0,411434;0,299392;0,353723;0,166919;0,36072;0,208208;32,6725;0,499466;3,21E+07
130;93,8179;173,267;103,48;10,5647;0,940553;0,925818;0,843962;0,600501;0,667901;0,804506;0,776912;0,521364;0,495517;0,63892;0,682091;0,524346;24,6013;0,940553;2,42E+07
131;152,519;82,3911;69,949;124,682;0,948679;1,28317;1,01076;0,885652;0,838708;1,01525;0,978328;0,720482;0,72053;0,751691;0,842627;0,537043;18,439;1,28317;1,81E+07
132;111,295;152,64;0,778605;84,5332;3,4067;2,57669;2,53703;2,41382;1,86384;1,78011;1,67548;1,46388;1,7263;1,62434;1,53286;1,68012;13,0072;3,4067;1,28E+07
133;142,729;104,858;125,181;12,7682;3,81362;3,06195;2,07638;1,9097;1,32577;1,73971;1,5726;1,30356;1,81605;1,97487;2,12386;2,40874;13,682;3,81362;1,34E+07
134;20,3998;95,4384;178,109;113,767;6,01311;5,61881;5,62682;5,6628;5,54168;4,08045;4,02977;4,86542;4,61443;7,14324;8,70701;10,6563;8,77237;10,6563;8,62E+06
135;139,009;99,9126;86,056;144,798;1,48356;1,64942;1,44479;0,834822;0,562693;1,22006;1,1358;0,483484;0,627214;0,873712;0,836205;0,682023;25,9111;1,64942;2,55E+07
136;21,4431;136,65;128,505;106,418;29,5637;24,9464;22,5642;21,2536;20,5377;20,0804;19,745;23,5584;29,8655;34,5443;43,2785;74,0864;6,58405;74,0864;6,47E+06
137;66,3172;4,13181;81,6652;151,757;1,68125;1,53118;1,00942;1,32695;1,02174;1,30514;1,26111;1,0155;1,26568;0,808132;1,19096;0,986099;12,9518;1,68125;1,27E+07
138;110,618;139,573;127,387;17,5773;2,40931;1,48387;1,49307;1,2345;1,2446;1,15356;1,12967;0,884565;0,805305;1,20399;1,24608;1,29357;19,4835;2,40931;1,91E+07
139;69,1433;10,8975;4,22018;83,9035;1,98763;1,58904;1,28531;1,2671;0,746367;1,13167;1,11153;0,595147;0,858438;0,974348;1,04599;1,04644;18,692;1,98763;1,84E+07
140;6,60974;8,99685;113,913;129,162;10,8008;10,336;9,54603;9,68841;9,76463;8,97808;8,68239;8,90267;11,0416;14,2396;16,3152;19,2734;14,9699;19,2734;1,47E+07
141;134,786;155,661;2,3377;112,604;2,27855;2,43149;2,31048;1,56441;1,37545;2,17184;2,11725;1,2233;1,42423;1,90166;2,06399;2,2166;17,5466;2,43149;1,72E+07
142;25,1872;48,0366;163,291;56,3377;7,90338;7,1532;6,43538;6,36671;5,72085;6,14681;5,9191;7,02856;8,99574;11,6595;13,7636;16,2629;17,1379;16,2629;1,68E+07
143;126,937;90,5831;124,826;162,166;21,9068;18,4993;14,0805;10,0961;7,904;8,99923;8,70537;10,1133;15,3649;15,0351;27,2824;32,9155;7,41845;32,9155;7,29E+06
144;124,388;123,952;85,7354;153,895;72,865;59,0899;47,2788;36,2526;26,1601;23,9055;22,7636;29,9159;41,4262;62,6595;75,9985;106,472;5,47345;106,472;5,38E+06
145;63,0363;40,3395;106,604;29,8019;1,89672;1,30124;1,39461;0,907856;0,948401;0,941219;0,881048;0,680569;0,646295;0,701234;0,677183;0,794895;29,4974;1,89672;2,90E+07
146;132,613;158,62;107,619;38,8523;0,787767;1,06828;0,577409;0,718875;0,584705;0,972589;0,953978;0,550177;0,650165;0,377741;0,893712;0,628038;22,3411;1,06828;2,19E+07
147;91,2047;74,7883;110,724;96,5397;9,71674;9,45729;8,97387;8,94295;8,81142;8,64089;8,47496;8,27467;7,99257;7,50909;7,94384;8,01647;19,1381;9,71674;1,88E+07
148;128,956;147,188;18,0171;113,982;1,51676;1,79228;1,5274;1,09739;0,827215;1,60362;1,56207;0,753637;1,05026;1,27603;1,42967;1,40724;18,7401;1,79228;1,84E+07
149;50,8285;83,64;53,3007;7,59173;1,36425;1,38565;1,08316;0,995821;0,616283;1,03409;0,962606;0,457703;0,707845;0,687312;0,707252;0,701027;25,0193;1,38565;2,46E+07
150;24,8898;176,296;165,184;6,36984;7,33706;7,20795;6,73353;6,47212;5,88487;5,88241;5,73746;5,4183;5,62934;5,50363;5,56033;5,24589;28,2858;7,33706;2,78E+07
151;159,046;152,906;119,621;71,5724;0,931936;0,883771;0,563842;0,320486;0,707505;0,792191;0,771771;0,630493;0,200466;0,487214;0,70081;0,703704;27,7643;0,931936;2,73E+07
152;174,935;50,4267;29,2809;74,4652;4,1223;3,71644;3,71651;2,64092;2,94572;2,88612;2,97815;3,42836;3,92932;4,79226;5,39748;5,97721;26,3596;5,97721;2,59E+07
153;77,3838;125,484;176,506;19,3736;1,01412;0,872121;0,893368;0,674969;0,825704;0,726348;0,715043;0,663638;0,499798;0,652901;0,676896;0,448026;24,6034;1,01412;2,42E+07
154;156,885;137,262;75,3307;9,4779;3,96779;3,40654;2,54924;3,69103;3,33166;3,16913;3,11547;3,04104;3,24618;2,18811;2,95762;3,21674;10,7993;3,96779;1,06E+07
155;126,344;177,358;165,415;109,117;1,86925;1,73477;1,7039;1,07647;0,744966;1,48529;1,44687;0,675758;0,972763;1,4379;1,33091;1,17235;17,7502;1,86925;1,74E+07
156;6,42099;27,247;125,2;158,51;3,69673;3,14126;2,69585;3,33299;3,31042;2,71162;2,64273;3,09161;2,94309;2,18933;2,50822;2,8627;23,1566;3,69673;2,28E+07
157;54,4872;163,595;168,681;26,7634;0,813488;1,24992;1,24717;1,11643;0,610186;1,08874;1,07238;0,567074;0,978595;1,06557;1,01492;0,562031;29,8414;1,24992;2,93E+07
158;14,3067;39,7496;52,7382;106,437;12,8023;8,55473;7,55271;6,46883;7,01882;6,71664;6,52884;6,08445;8,78811;7,55506;10,7506;21,2085;7,58135;21,2085;7,45E+06
